"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"npm1_genot",0.026394304344286,0.026394304344286,1,24.1426648732015,0.11383534290196,0.738735038139535
"treat",0.570111379317747,0.570111379317747,1,28.0000003566317,2.45881927822034,0.128099844231848
"log10_dose_nM",18.2842037282093,18.2842037282093,1,28.0000003503089,78.8574903865801,1.23709165095921e-09
"flow_time_f",3.77199560295774,3.77199560295774,1,24.1426648761005,16.2681466155154,0.000479829902802819
"npm1_genot:treat",0.330436520457152,0.330436520457152,1,28.0000003946929,1.42513150272565,0.242577076959461
"npm1_genot:log10_dose_nM",1.43302614367928,1.43302614367928,1,28.000000349373,6.18046303950117,0.0191536958903465
"treat:log10_dose_nM",2.04536910695756,2.04536910695756,1,28.0000003576593,8.82142187248044,0.006048037618055
"npm1_genot:flow_time_f",0.279166176250301,0.279166176250301,1,24.1426648730516,1.20400890228281,0.283345972454211
"treat:flow_time_f",0.855928975319092,0.855928975319092,1,28.0000003654878,3.69151492436532,0.0649233691706544
"log10_dose_nM:flow_time_f",0.00712855129343588,0.00712855129343588,1,28.0000003508465,0.0307445526996115,0.862073363807397
"npm1_genot:treat:log10_dose_nM",0.507939491173833,0.507939491173833,1,28.0000003472288,2.1906796783503,0.150012973205906
"npm1_genot:treat:flow_time_f",0.140343070313691,0.140343070313691,1,28.000000477369,0.605282159540285,0.443094527657974
"npm1_genot:log10_dose_nM:flow_time_f",0.0147583682479753,0.0147583682479753,1,28.0000003447891,0.0636510016807989,0.802658575953317
"treat:log10_dose_nM:flow_time_f",0.271671109209734,0.271671109209734,1,28.0000003737557,1.1716836128754,0.288289792791746
"npm1_genot:treat:log10_dose_nM:flow_time_f",0.0447666910330885,0.0447666910330885,1,28.0000005220961,0.193073155399944,0.663743693763557
