Drug,log2_bin,n,total_n,fraction
Entospletinib,<= -2,0,15,0
Entospletinib,-2 to -1,0,15,0
Entospletinib,-1 to 0,2,15,0.13333333333333333
Entospletinib,0 to 1,6,15,0.4
Entospletinib,1 to 2,4,15,0.26666666666666666
Entospletinib,> 2,3,15,0.2
aPD1,<= -2,0,15,0
aPD1,-2 to -1,2,15,0.13333333333333333
aPD1,-1 to 0,3,15,0.2
aPD1,0 to 1,5,15,0.3333333333333333
aPD1,1 to 2,2,15,0.13333333333333333
aPD1,> 2,3,15,0.2
Olaparib,<= -2,1,15,0.06666666666666667
Olaparib,-2 to -1,1,15,0.06666666666666667
Olaparib,-1 to 0,2,15,0.13333333333333333
Olaparib,0 to 1,10,15,0.6666666666666666
Olaparib,1 to 2,1,15,0.06666666666666667
Olaparib,> 2,0,15,0
Sorafenib,<= -2,0,15,0
Sorafenib,-2 to -1,2,15,0.13333333333333333
Sorafenib,-1 to 0,3,15,0.2
Sorafenib,0 to 1,7,15,0.4666666666666667
Sorafenib,1 to 2,2,15,0.13333333333333333
Sorafenib,> 2,1,15,0.06666666666666667
NVP-TAE684,<= -2,0,15,0
NVP-TAE684,-2 to -1,3,15,0.2
NVP-TAE684,-1 to 0,4,15,0.26666666666666666
NVP-TAE684,0 to 1,6,15,0.4
NVP-TAE684,1 to 2,2,15,0.13333333333333333
NVP-TAE684,> 2,0,15,0
PD173074,<= -2,0,16,0
PD173074,-2 to -1,4,16,0.25
PD173074,-1 to 0,6,16,0.375
PD173074,0 to 1,5,16,0.3125
PD173074,1 to 2,1,16,0.0625
PD173074,> 2,0,16,0
Venetoclax,<= -2,4,15,0.26666666666666666
Venetoclax,-2 to -1,1,15,0.06666666666666667
Venetoclax,-1 to 0,3,15,0.2
Venetoclax,0 to 1,5,15,0.3333333333333333
Venetoclax,1 to 2,2,15,0.13333333333333333
Venetoclax,> 2,0,15,0
Doramapimod,<= -2,0,16,0
Doramapimod,-2 to -1,4,16,0.25
Doramapimod,-1 to 0,5,16,0.3125
Doramapimod,0 to 1,4,16,0.25
Doramapimod,1 to 2,3,16,0.1875
Doramapimod,> 2,0,16,0
GW-2580,<= -2,1,15,0.06666666666666667
GW-2580,-2 to -1,2,15,0.13333333333333333
GW-2580,-1 to 0,5,15,0.3333333333333333
GW-2580,0 to 1,5,15,0.3333333333333333
GW-2580,1 to 2,2,15,0.13333333333333333
GW-2580,> 2,0,15,0
MK-2206,<= -2,1,14,0.07142857142857142
MK-2206,-2 to -1,3,14,0.21428571428571427
MK-2206,-1 to 0,4,14,0.2857142857142857
MK-2206,0 to 1,5,14,0.35714285714285715
MK-2206,1 to 2,1,14,0.07142857142857142
MK-2206,> 2,0,14,0
BEZ235,<= -2,0,14,0
BEZ235,-2 to -1,2,14,0.14285714285714285
BEZ235,-1 to 0,5,14,0.35714285714285715
BEZ235,0 to 1,4,14,0.2857142857142857
BEZ235,1 to 2,3,14,0.21428571428571427
BEZ235,> 2,0,14,0
JQ1,<= -2,1,14,0.07142857142857142
JQ1,-2 to -1,4,14,0.2857142857142857
JQ1,-1 to 0,4,14,0.2857142857142857
JQ1,0 to 1,2,14,0.14285714285714285
JQ1,1 to 2,2,14,0.14285714285714285
JQ1,> 2,1,14,0.07142857142857142
Trametinib,<= -2,1,13,0.07692307692307693
Trametinib,-2 to -1,2,13,0.15384615384615385
Trametinib,-1 to 0,7,13,0.5384615384615384
Trametinib,0 to 1,3,13,0.23076923076923078
Trametinib,1 to 2,0,13,0
Trametinib,> 2,0,13,0
CYT387,<= -2,1,14,0.07142857142857142
CYT387,-2 to -1,3,14,0.21428571428571427
CYT387,-1 to 0,4,14,0.2857142857142857
CYT387,0 to 1,4,14,0.2857142857142857
CYT387,1 to 2,1,14,0.07142857142857142
CYT387,> 2,1,14,0.07142857142857142
Ibrutinib,<= -2,4,13,0.3076923076923077
Ibrutinib,-2 to -1,1,13,0.07692307692307693
Ibrutinib,-1 to 0,6,13,0.46153846153846156
Ibrutinib,0 to 1,0,13,0
Ibrutinib,1 to 2,1,13,0.07692307692307693
Ibrutinib,> 2,1,13,0.07692307692307693
Dasatinib,<= -2,2,13,0.15384615384615385
Dasatinib,-2 to -1,3,13,0.23076923076923078
Dasatinib,-1 to 0,3,13,0.23076923076923078
Dasatinib,0 to 1,4,13,0.3076923076923077
Dasatinib,1 to 2,1,13,0.07692307692307693
Dasatinib,> 2,0,13,0
Palbociclib,<= -2,3,14,0.21428571428571427
Palbociclib,-2 to -1,3,14,0.21428571428571427
Palbociclib,-1 to 0,5,14,0.35714285714285715
Palbociclib,0 to 1,2,14,0.14285714285714285
Palbociclib,1 to 2,1,14,0.07142857142857142
Palbociclib,> 2,0,14,0
NFkB Act Inhib,<= -2,3,14,0.21428571428571427
NFkB Act Inhib,-2 to -1,3,14,0.21428571428571427
NFkB Act Inhib,-1 to 0,5,14,0.35714285714285715
NFkB Act Inhib,0 to 1,3,14,0.21428571428571427
NFkB Act Inhib,1 to 2,0,14,0
NFkB Act Inhib,> 2,0,14,0
Panobinostat,<= -2,3,14,0.21428571428571427
Panobinostat,-2 to -1,6,14,0.42857142857142855
Panobinostat,-1 to 0,3,14,0.21428571428571427
Panobinostat,0 to 1,2,14,0.14285714285714285
Panobinostat,1 to 2,0,14,0
Panobinostat,> 2,0,14,0
